ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:04:03.745937300+00:00,antenna_alignment,178,3267.828,3330.691,3.000,0,50.000
2026-02-20T05:04:03.814053600+00:00,antenna_alignment,179,3281.616,3348.808,3.000,0,50.000
2026-02-20T05:04:03.882107900+00:00,antenna_alignment,180,3299.869,3366.862,3.000,0,50.000
2026-02-20T05:04:03.949812+00:00,antenna_alignment,181,3317.811,3384.566,3.000,0,50.000
2026-02-20T05:04:04.014193500+00:00,antenna_alignment,182,3336.801,3398.947,3.000,0,50.000
2026-02-20T05:04:04.066257700+00:00,antenna_alignment,183,3349.709,3401.012,3.000,0,50.000
2026-02-20T05:04:04.116945700+00:00,antenna_alignment,184,3351.771,3401.701,3.000,0,50.000
2026-02-20T05:04:04.195995900+00:00,antenna_alignment,185,3352.703,3430.749,3.000,0,50.000
2026-02-20T05:04:04.267554900+00:00,antenna_alignment,186,3381.448,3452.310,3.000,0,50.000
2026-02-20T05:04:04.351252500+00:00,antenna_alignment,187,3408.876,3486.007,3.000,0,50.000
2026-02-20T05:04:04.432291100+00:00,antenna_alignment,188,3436.652,3517.045,3.000,0,50.000
2026-02-20T05:04:04.501354100+00:00,antenna_alignment,189,3467.989,3536.095,3.000,0,50.000
2026-02-20T05:04:04.562585900+00:00,antenna_alignment,190,3487.123,3547.339,3.000,0,50.000
2026-02-20T05:04:04.619065900+00:00,antenna_alignment,191,3498.240,3553.820,3.000,0,50.000
2026-02-20T05:04:04.682244500+00:00,antenna_alignment,192,3504.528,3566.985,3.000,0,50.000
2026-02-20T05:04:04.734895500+00:00,antenna_alignment,193,3518.253,3569.649,3.000,0,50.000
2026-02-20T05:04:04.795883900+00:00,antenna_alignment,194,3520.386,3580.637,3.000,0,50.000
2026-02-20T05:04:04.863244600+00:00,antenna_alignment,195,3531.378,3597.999,3.000,0,50.000
2026-02-20T05:04:04.946244700+00:00,antenna_alignment,196,3548.556,3630.999,3.000,0,50.000
2026-02-20T05:04:04.998568400+00:00,antenna_alignment,197,3581.913,3633.323,3.000,0,50.000
2026-02-20T05:04:05.068658500+00:00,antenna_alignment,198,3584.140,3653.413,3.000,0,50.000
2026-02-20T05:04:05.133386100+00:00,antenna_alignment,199,3604.184,3668.141,3.000,0,50.000
2026-02-20T05:04:05.179204900+00:00,antenna_alignment,200,3618.586,3663.959,3.000,0,50.000
2026-02-20T05:04:05.245772900+00:00,antenna_alignment,201,3614.821,3680.526,3.000,0,50.000
2026-02-20T05:04:05.299927300+00:00,antenna_alignment,202,3631.287,3684.682,3.000,0,50.000
2026-02-20T05:04:05.371096400+00:00,antenna_alignment,203,3635.155,3705.851,3.000,0,50.000
2026-02-20T05:04:05.431245500+00:00,antenna_alignment,204,3656.214,3715.999,3.000,0,50.000
2026-02-20T05:04:05.495913300+00:00,antenna_alignment,205,3666.802,3730.667,3.000,0,50.000
2026-02-20T05:04:05.564202900+00:00,antenna_alignment,206,3681.244,3748.956,3.000,0,50.000
2026-02-20T05:04:05.633602500+00:00,antenna_alignment,207,3699.649,3768.357,3.000,0,50.000
