ts,priority,dropped_count
2026-03-17T17:17:53.079501400+00:00,normal,1
2026-03-17T17:17:53.129598400+00:00,normal,1
2026-03-17T17:17:53.166101800+00:00,normal,1
2026-03-17T17:17:53.179545900+00:00,normal,1
2026-03-17T17:17:53.229609900+00:00,normal,1
2026-03-17T17:17:53.266658800+00:00,normal,1
2026-03-17T17:17:53.266817100+00:00,normal,1
2026-03-17T17:17:53.279585200+00:00,normal,1
2026-03-17T17:17:53.329535900+00:00,normal,1
2026-03-17T17:17:53.366107+00:00,normal,1
2026-03-17T17:17:53.379549300+00:00,normal,1
2026-03-17T17:17:53.429728700+00:00,normal,1
2026-03-17T17:17:53.466775500+00:00,normal,1
2026-03-17T17:17:53.467434900+00:00,normal,1
2026-03-17T17:17:53.479685400+00:00,normal,1
2026-03-17T17:17:53.529623300+00:00,normal,1
2026-03-17T17:17:53.566323600+00:00,normal,1
2026-03-17T17:17:53.579637600+00:00,normal,1
2026-03-17T17:17:53.629596600+00:00,normal,1
2026-03-17T17:17:53.666559900+00:00,normal,1
2026-03-17T17:17:53.666838600+00:00,normal,1
2026-03-17T17:17:53.679567600+00:00,normal,1
2026-03-17T17:17:53.729619900+00:00,normal,1
2026-03-17T17:17:53.766245600+00:00,normal,1
2026-03-17T17:17:53.779671900+00:00,normal,1
2026-03-17T17:17:53.829967400+00:00,normal,1
2026-03-17T17:17:53.866615600+00:00,normal,1
2026-03-17T17:17:53.866937600+00:00,normal,1
2026-03-17T17:17:53.879677200+00:00,normal,1
2026-03-17T17:17:53.929875900+00:00,normal,1
2026-03-17T17:17:53.966658200+00:00,normal,1
2026-03-17T17:17:53.979667900+00:00,normal,1
2026-03-17T17:17:54.037397+00:00,normal,1
2026-03-17T17:17:54.066157600+00:00,normal,1
2026-03-17T17:17:54.066325100+00:00,normal,1
2026-03-17T17:17:54.083187500+00:00,normal,1
2026-03-17T17:17:54.133129700+00:00,normal,1
2026-03-17T17:17:54.166247900+00:00,normal,1
2026-03-17T17:17:54.183130900+00:00,normal,1
2026-03-17T17:17:54.233269700+00:00,normal,1
2026-03-17T17:17:54.266167500+00:00,normal,1
2026-03-17T17:17:54.266338700+00:00,normal,1
2026-03-17T17:17:54.283151800+00:00,normal,1
