ts,total,critical,important,normal
2026-03-18T08:04:13.014331400+00:00,1,0,1,0
2026-03-18T08:04:13.051859700+00:00,1,0,0,1
2026-03-18T08:04:13.076010200+00:00,1,0,1,0
2026-03-18T08:04:13.111774500+00:00,1,0,1,0
2026-03-18T08:04:13.151418400+00:00,1,0,0,1
2026-03-18T08:04:13.151821400+00:00,1,0,0,1
2026-03-18T08:04:13.168215600+00:00,1,0,1,0
2026-03-18T08:04:13.211754600+00:00,1,0,1,0
2026-03-18T08:04:17.436061300+00:00,1,0,0,1
2026-03-18T08:04:17.438964800+00:00,64,0,64,0
2026-03-18T08:04:17.441068300+00:00,64,0,20,44
2026-03-18T08:04:17.442429800+00:00,18,0,0,18
2026-03-18T08:04:17.451674800+00:00,1,0,0,1
2026-03-18T08:04:17.463901600+00:00,1,0,1,0
2026-03-18T08:04:17.515336600+00:00,1,0,1,0
2026-03-18T08:04:17.551675600+00:00,1,0,0,1
2026-03-18T08:04:17.553645500+00:00,1,0,0,1
2026-03-18T08:04:17.577770+00:00,1,0,1,0
2026-03-18T08:04:17.626095100+00:00,1,0,1,0
2026-03-18T08:04:17.652069800+00:00,1,0,0,1
2026-03-18T08:04:17.673250900+00:00,1,0,1,0
2026-03-18T08:04:17.713839500+00:00,1,0,1,0
2026-03-18T08:04:17.752044200+00:00,1,0,0,1
2026-03-18T08:04:17.754037900+00:00,1,0,0,1
2026-03-18T08:04:17.766442800+00:00,1,0,1,0
2026-03-18T08:04:17.813697900+00:00,1,0,1,0
2026-03-18T08:04:17.851098500+00:00,1,0,0,1
2026-03-18T08:04:17.863716300+00:00,1,0,1,0
2026-03-18T08:04:17.913898100+00:00,1,0,1,0
2026-03-18T08:04:17.951766100+00:00,1,0,0,1
2026-03-18T08:04:17.953691400+00:00,1,0,0,1
2026-03-18T08:04:17.970733500+00:00,1,0,1,0
2026-03-18T08:04:18.013802800+00:00,1,0,1,0
2026-03-18T08:04:18.051832800+00:00,1,0,0,1
2026-03-18T08:04:18.063704700+00:00,1,0,1,0
2026-03-18T08:04:18.127180100+00:00,1,0,1,0
2026-03-18T08:04:18.151748800+00:00,1,0,0,1
