ts,command_id,command_type,target_system,priority,is_urgent,send_time_ms,deadline_met,network_met,adherent,deadline_violation_ms,precision_ms,reason
2026-03-21T11:23:15.872664500+00:00,38898d90-29e6-4abe-b297-44bc9836fc6c,AttitudeControl,AttitudeControl,3,false,0.094,true,true,true,0.000,13.451,ok
2026-03-21T11:23:15.965712700+00:00,7195e265-f351-438a-be51-b6d79fd361b9,AttitudeControl,AttitudeControl,3,false,0.094,true,true,true,0.000,6.239,ok
2026-03-21T11:23:16.067046700+00:00,e07c0097-deb9-4566-8a0f-8ba62513dd13,AttitudeControl,AttitudeControl,3,false,0.094,true,true,true,0.000,6.403,ok
2026-03-21T11:23:17.280778300+00:00,7e357bd1-8629-44e0-aa09-b1623bc95851,Maintenance,ThermalManagement,2,false,0.097,true,true,true,0.000,6.067,ok
2026-03-21T11:23:17.480637500+00:00,11d8d4bd-b678-488b-a4c8-95e4b5b5f443,Maintenance,PowerManagement,2,false,0.089,true,true,true,0.000,5.010,ok
2026-03-21T11:23:17.685591+00:00,bb197afc-bbe1-4e3f-ad23-94e32af1ff0e,Maintenance,AttitudeControl,2,false,0.115,true,true,true,0.000,9.392,ok
2026-03-21T11:23:20.284465500+00:00,9ae84f09-9aea-48d6-87cc-51d9d3d9948c,PowerControl,PowerManagement,1,true,0.097,true,true,true,0.000,5.155,ok
2026-03-21T11:23:25.584579600+00:00,d45b84d2-ffb1-45cf-937c-397fd7187598,AttitudeControl,AttitudeControl,1,true,0.069,true,true,true,0.000,11.418,ok
2026-03-21T11:23:25.585550400+00:00,467d811c-f01b-480d-9397-5eb3fa4efcef,ThermalControl,ThermalManagement,3,false,0.051,true,true,true,0.000,4.047,ok
2026-03-21T11:23:25.682826900+00:00,21f32280-5b62-4d15-a7c6-9e1c96569678,ThermalControl,ThermalManagement,3,false,0.154,true,true,true,0.000,0.374,ok
2026-03-21T11:23:25.926249700+00:00,e2075f36-1e89-4ec4-9eb2-205b8a9df7ae,ThermalControl,ThermalManagement,3,false,0.134,true,true,true,0.000,143.704,ok
2026-03-21T11:23:25.935748900+00:00,8e1c4091-bd90-41df-81b8-a9325c84d6f4,PowerControl,PowerManagement,3,false,0.284,true,true,true,0.000,52.473,ok
2026-03-21T11:23:25.995266600+00:00,445b0604-af1b-4ce8-8b8c-6bd885866aa5,PowerControl,PowerManagement,3,false,0.116,true,true,true,0.000,11.672,ok
2026-03-21T11:23:26.089160+00:00,570d0707-590e-4172-b9c5-00d8bf1ceeca,PowerControl,PowerManagement,3,false,0.379,true,true,true,0.000,5.266,ok
2026-03-21T11:23:26.198516300+00:00,c8e43754-4dd9-4577-9a51-c5c36c9b3be9,AttitudeControl,AttitudeControl,3,false,0.108,true,true,true,0.000,14.740,ok
2026-03-21T11:23:26.287679900+00:00,19670109-f021-4fd4-afe7-631a13ac96c2,AttitudeControl,AttitudeControl,3,false,0.103,true,true,true,0.000,3.607,ok
2026-03-21T11:23:26.401167500+00:00,e99ed3fa-7948-4198-ab6b-6a41d9d82b21,AttitudeControl,AttitudeControl,3,false,0.296,true,true,true,0.000,16.474,ok
2026-03-21T11:23:30.597458900+00:00,71acef51-34ff-4074-acac-4ccf6ce9ab2f,Emergency,AllSystems,0,true,0.091,true,true,true,0.000,3.634,ok
2026-03-21T11:23:35.264071800+00:00,1ca45de3-d6cf-4582-aa24-3b5f8e45bf63,ThermalControl,ThermalManagement,3,false,0.078,true,true,true,0.000,1.569,ok
2026-03-21T11:23:35.378740700+00:00,4f1bdd7d-9b3f-4ed3-8fb5-453393d63dc5,ThermalControl,ThermalManagement,3,false,0.122,true,true,true,0.000,15.756,ok
2026-03-21T11:23:35.478105800+00:00,4c5313bc-7627-4f29-87c5-bbfbd179799f,ThermalControl,ThermalManagement,3,false,0.087,true,true,true,0.000,15.038,ok
